artists,album_name,track_name,popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,tempo_category_Moderate,tempo_category_Fast,tempo_category_Extremely Fast,track_genre_death-metal,track_genre_heavy-metal,track_genre_metal,track_genre_metalcore,key_category_key_scale_A#,key_category_key_scale_B,key_category_key_scale_C,key_category_key_scale_C#,key_category_key_scale_D,key_category_key_scale_D#,key_category_key_scale_E,key_category_key_scale_F,key_category_key_scale_F#,key_category_key_scale_G,key_category_key_scale_G#,tempo_category_plot,genre_for_plot,key_label
Mortuary Drape,All the Witches Dance,Primordial,22,187066,0.246,0.997,8,-5.478,0.0981,0.00013,0.000264,0.323,0.0828,169.21,4,3.12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Fast,black-metal,key_scale_G#
LIK,Carnage,Rid You of Your Flesh,23,220200,0.209,0.989,0,-4.644,0.125,1.87e-06,0.348,0.177,0.113,104.536,4,3.67,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C
Celtic Frost,Monotheist,A Dying God Coming into Human Flesh,47,339186,0.153,0.329,3,-5.575,0.0362,0.0125,0.918,0.0604,0.0793,102.001,3,5.65,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Moderate,black-metal,key_scale_D#
Behemoth,Opvs Contra Natvram,The Deathless Sun,51,283336,0.265,0.962,2,-4.871,0.108,1.27e-05,0.000862,0.4,0.156,167.759,4,4.72,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fast,black-metal,key_scale_D
Månegarm,Ynglingaättens Öde,Adils fall,23,294933,0.456,0.93,2,-3.798,0.0515,9.53e-05,0.000171,0.457,0.54,155.98,3,4.92,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fast,black-metal,key_scale_D
Burzum,Filosofem,Jesus' Tod,47,519293,0.285,0.93,0,-7.939,0.0752,1.34e-06,0.988,0.518,0.0341,80.436,4,8.65,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C
Cradle Of Filth,Damnation And A Day,Babalon A.D. (So Glad for the Madness),22,337933,0.408,0.981,0,-5.364,0.159,0.000169,0.00504,0.288,0.204,161.079,4,5.63,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C
Behemoth,Opvs Contra Natvram,Versvs Christvs,49,389927,0.207,0.883,1,-4.929,0.0722,0.000148,0.0124,0.071,0.142,181.908,4,6.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Extremely Fast,black-metal,key_scale_C#
Alcest,Spiritual Instinct,Protection,44,349968,0.156,0.901,6,-8.03,0.0562,1.99e-05,0.806,0.035,0.171,145.627,3,5.83,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Moonspell,Irreligious,Raven Clows,24,196133,0.457,0.892,9,-6.28,0.0484,0.000349,0.287,0.231,0.581,134.427,4,3.27,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Bathory,Blood Fire Death,A Fine Day to Die,48,516266,0.232,0.931,9,-8.804,0.0808,0.00413,0.756,0.0927,0.0371,122.684,4,8.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
End It,End It,Blind Faith,24,171458,0.21,0.931,0,-5.296,0.0669,3.55e-05,0.909,0.343,0.453,156.866,4,2.86,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C
Truchło Strzygi,Gwiezdny Demon,Ostatnie tchnienie Nosferatu,25,250326,0.341,0.924,6,-4.794,0.049,1.09e-05,0.00983,0.281,0.285,132.477,4,4.17,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Eisregen,Satan liebt dich,Onkel Fritze,23,186653,0.488,0.993,10,-4.666,0.194,0.000421,3.22e-06,0.353,0.152,140.043,4,3.11,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A#
Kvelertak;Nate Newton,Splid,Discord,23,253483,0.259,0.981,4,-6.655,0.0967,2.88e-06,0.944,0.706,0.103,170.105,4,4.22,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Fast,black-metal,key_scale_E
Enslaved,Utgard,Urjotun,22,261213,0.316,0.908,1,-8.746,0.0489,8.26e-05,0.241,0.12,0.564,177.052,4,4.35,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Extremely Fast,black-metal,key_scale_C#
Cruel Force,The Rise Of Satanic Might,Leather And Metal,23,166426,0.282,0.997,6,-4.833,0.0774,3.3e-06,0.664,0.052,0.615,177.114,4,2.77,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Extremely Fast,black-metal,key_scale_F#
Hypocrisy,The Fourth Dimension / Maximum Abduction,Mind Corruption,25,231333,0.416,0.846,6,-8.412,0.0377,5.56e-05,0.00527,0.0905,0.333,101.183,4,3.86,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,black-metal,key_scale_F#
